doc_path,code,chmp_output,prime_output
EU-1-20-1429_public-assessment-report_20200415_20200415_cinacalcet-accordpharma-epar-public-assessment-report.pdf.txt,EU-1-20-1429,2020-01-30,False
EU-1-21-1546_public-assessment-report_20211014_20211014_ozawade-epar-public-assessment-report.pdf.txt,EU-1-21-1546,2020-11-18,False
EU-1-20-1524_public-assessment-report_20210414_20210414_vazkepa-epar-public-assessment-report.pdf.txt,EU-1-20-1524,2021-01-28,False
EU-1-21-1540_public-assessment-report_20220330_20230330_dasatinib-accord-epar-public-assessment-report.pdf.txt,EU-1-21-1540,No date for a positive opinion is mentioned in the provided text.,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-21-1594_public-assessment-report_20220201_20220201_rybrevant-epar-public-assessment-report.pdf.txt,EU-1-21-1594,2021-10-14,False
EU-1-23-1742_public-assessment-report_20230718_20230718_columvi-epar-public-assessment-report.pdf.txt,EU-1-23-1742,2023-04-26,False
EU-1-21-1532_public-assessment-report_20210416_20210416_kesimpta-epar-public-assessment-report.pdf.txt,EU-1-21-1532,2021-01-28,False
EU-1-18-1264_public-assessment-report_20181126_20181126_alunbrig-epar-public-assessment-report.pdf.txt,EU-1-18-1264,2018-09-20,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-21-1586_public-assessment-report_20220120_20220120_voraxaze-epar-public-assessment-report.pdf.txt,EU-1-21-1586,2021-11-11,False
EU-1-21-1529_public-assessment-report_20210218_20210218_vaxzevria-previously-covid-19-vaccine-astrazeneca-epar-public-assessment-report.pdf.txt,EU-1-21-1529,2020-11-06,False
EU-1-20-1517_public-assessment-report_20210503_20210503_sibnayal-epar-public-assessment-report.pdf.txt,EU-1-20-1517,2020-12-10,False
EU-1-14-963_public-assessment-report_20141205_20141205_brimica-genuair-epar-public-assessment-report.pdf.txt,EU-1-14-963,No date found.,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-21-1588_public-assessment-report_20211129_20211129_rivaroxaban-mylan-epar-public-assessment-report.pdf.txt,EU-1-21-1588,2021-09-16,False
EU-1-21-1608_public-assessment-report_20220310_20220310_wegovy-epar-public-assessment-report.pdf.txt,EU-1-21-1608,No date for a positive opinion for granting a Marketing Authorisation is provided in this text.,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-20-1479_public-assessment-report_20201111_20201111_calquence-epar-public-assessment-report.pdf.txt,EU-1-20-1479,No date for granting a positive opinion for Marketing Authorisation is provided in this text.,False
EU-1-23-1741_public-assessment-report_20230718_20230718_lytgobi-epar-public-assessment-report.pdf.txt,EU-1-23-1741,No date of a positive opinion for granting a Marketing Authorisation was explicitly mentioned in the provided text.,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-22-1700_public-assessment-report_20230111_20230111_ebvallo-epar-public-assessment-report.pdf.txt,EU-1-22-1700,No date found.,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-19-1387_public-assessment-report_20191129_20220705_senstend-epar-public-assessment-report.pdf.txt,EU-1-19-1387,,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-20-1526_public-assessment-report_20210218_20210218_tukysa-epar-public-assessment-report.pdf.txt,EU-1-20-1526,No date for a positive opinion is mentioned in the provided text.,"""Value not reported (available for medicines authorised from 2016-03-01 onwards)"""
EU-1-20-1503_public-assessment-report_20210301_20210301_heplisav-b-epar-public-assessment-report.pdf.txt,EU-1-20-1503,2020-12-10,False
EU-1-19-1379_public-assessment-report_20190828_20190828_posaconazole-accord-epar-assessment-report.pdf.txt,EU-1-19-1379,2019-05-29,False
EU-1-19-1382_public-assessment-report_20190814_20210804_azacitidine-celgene-epar-public-assessment-report.pdf.txt,EU-1-19-1382,2019-06-27,False
EU-1-21-1617_public-assessment-report_20220311_20220311_ngenla-epar-public-assessment-report.pdf.txt,EU-1-21-1617,2021-12-16,False
EU-1-21-1598_public-assessment-report_20220117_20220117_sitagliptin-sun-epar-public-assessment-report.pdf.txt,EU-1-21-1598,2021-10-14,False
EU-1-20-1496_public-assessment-report_20201125_20201125_oxlumo-epar-public-assessment-report.pdf.txt,EU-1-20-1496,2020-09-15,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-20-1485_public-assessment-report_20201127_20201127_obiltoxaximab-sfl-epar-public-assessment-report.pdf.txt,EU-1-20-1485,,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-21-1601_public-assessment-report_20211119_20211119_ronapreve-epar-public-assessment-report.pdf.txt,EU-1-21-1601,2021-03-12,Value not reported (available for medicines authorised from 2016-03-01 onwards)
EU-1-23-1724_public-assessment-report_20230508_20230508_elfabrio-epar-public-assessment-report.pdf.txt,EU-1-23-1724,2023-02-23,False
EU-1-20-1438_public-assessment-report_20200721_20200721_enerzair-breezhaler-epar-public-assessment-report.pdf.txt,EU-1-20-1438,2020-04-30,False
EU-1-22-1680_public-assessment-report_20220921_20220921_illuzyce-epar-public-assessment-report.pdf.txt,EU-1-22-1680,2022-07-21,False
